beta,M,sM,chi,schi
0.1,0.04859875000000001,0.000986224134443776,39.84437725000006,0.010455758466419853
0.15,0.056823750000000006,0.001148234269262756,59.683572374999954,0.01634248321916195
0.2,0.06528375,0.001307642838606695,79.45279450000011,0.02305439064348595
0.3,0.09692375,0.0019333446649160556,118.20473024999995,0.04877809740545617
0.32,0.1113225,0.002208968705923649,125.50162879999998,0.06143009163685638
0.34,0.1244625,0.002457412372547595,132.71033169999995,0.07735732492607811
0.36,0.1448025,0.0028308833203502934,139.37252939999993,0.10173661548584047
0.38,0.17158249999999997,0.0033465686867297376,145.1624110999999,0.14412789742833976
0.4,0.21968000000000001,0.004229675600555851,148.54118600000004,0.22012716737911228
0.42,0.2811575,0.005323450915377872,148.94290949999996,0.3274302391003743
0.43,0.32993125,0.006028453260599636,146.891883975,0.37702372940402035
0.44,0.37521124999999994,0.0068048898812901,143.37560050000002,0.4614632654497533
0.46,0.5250575,0.008966294645696041,124.80790149999993,0.5919223200703949
0.48,0.6039249999999999,0.009210741216101992,112.04874719999995,0.7130082737211564
0.5,0.7473987500000001,0.011626162300614697,83.21859124999995,0.6103916985498278
0.55,0.8880837500000001,0.0010150273070141389,45.58094887500005,0.37119665469240276
0.6,0.9360712499999999,0.0006079979797329715,29.3500725,0.2633881930448592
0.65,0.96193125,0.0003742288816478158,19.273301124999982,0.18371427354608363
0.7,0.9754175,0.0002778266967688671,13.51054600000001,0.1496724538224087
0.8,0.9889799999999999,0.00017031925904019204,6.976808000000015,0.10654772337682324
0.9,0.99500875,9.903430395259523e-05,3.570608250000013,0.07054037888291723
